,Gene name,mito,ORF,value,R value,P value,BH
229,LCB2,mito,YDR062W,0.00020149862497647486,-0.11489431200414216,0.4268967608705614,0.8505603974234314
230,MIC19,mito,YFR011C,0.0002006086266929575,0.14602402325174396,0.3116019096634591,0.7694429827068808
231,NAM9,mito,YNL137C,0.00020011673024521192,0.08658338261432703,0.549922501236414,0.9479510858006733
232,ARG3,mito,YJL088W,0.00019964648972566252,0.25334730304788006,0.07586275998006652,0.42084450791861716
233,ISD11,mito,YER048W-A,0.00019900180087599118,0.0060696026918712394,0.9666315136283293,1.216962921630365
234,MRP1,mito,YDR347W,0.0001966028065515775,0.024725467583982436,0.8646646324768701,1.1578516221890742
235,MAS2,mito,YHR024C,0.0001965688978745937,-0.009898335306946119,0.9456080135825211,1.2037890960179498
236,PUF3,mito,YLL013C,0.00019652286652975564,-0.09517718446920133,0.515356131397382,0.9179781090515867
237,NFS1,mito,YCL017C,0.00019422519174884086,0.19195433933179826,0.18172946161351208,0.6051750328317539
238,TIM10,mito,YHR005C-A,0.00019216048780007098,0.021723464186669813,0.8834836507488691,1.1686382075270287
239,RSM27,mito,YGR215W,0.00019212645066714627,-0.03553939385803066,0.8064388664427704,1.120691151253261
240,YJU3,mito,YKL094W,0.00019207485809531765,-0.017594144640201093,0.9034755699793282,1.1786711612928868
241,NFU1,mito,YKL040C,0.00019044230175291587,-0.011495875060449552,0.9368459703421808,1.1970906850626781
242,TOM40,mito,YMR203W,0.00018934579510610056,0.30727971608118887,0.03363036888392417,0.28753965395755166
243,RSM23,mito,YGL129C,0.0001866646000339836,0.06787765432748095,0.6395210436428767,1.0137483055659968
244,TUM1,mito,YOR251C,0.00018607557267549048,-0.017527042823681234,0.905878262370398,1.1804548132241421
245,DIS3,mito,YOL021C,0.00018365397925023302,-0.17986201026373078,0.2604748849409366,0.7135155038029662
246,UGA2,mito,YBR006W,0.00018066090078172175,0.13165837365060168,0.3723911089181412,0.797231669796584
