,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3,Gene name
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1357954340950783e-06,TMEM128
137,,,,,,,,,,,,,,,,,,,2.1758083768905657e-06,,,,,,,,,,,,,,,ZNF770
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.529681215888932e-07,,
139,,,,,,,,,,,,,,,,,,,,,,,,1.6665836676038735e-06,,,,,,,,,,C17orf89
140,,,,,,,,,4.30596740292981e-07,,,,,,,,,,,,,,,,,,,,,,,,,SIAT9;ST3GAL5;UNQ2510/PRO5998
141,,,,,,,,,1.864334076808124e-06,,,,,,,,,,,,,,,,,,,,,,,,,ALX4;KIAA1788
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEN;TSPAN33
143,,,,,,,,,,,,,,,,,,,,,,,,1.033487245944872e-06,,,,,,,,,,C12orf49
144,,,,,,,,,,,,,,,,,,,,,,,1.6032378674312275e-07,,,,,,,,,,,C20orf134
145,,7.111937109419922e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDK2AP1;CDKAP1;DOC1
146,,,,,,,,,,,,,,,,,,,,,,,,9.066050241283956e-07,,,,,,,,,,PEMPT;PEMT;PNMT
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3210035343289082e-06,,,,ARHE;RHO8;RHOE;RND3
148,,,,,,,,,,,,,,,,,,,,,,,,,,,3.840164964498417e-06,,,,,,,BATF
149,,,,,,,,,,,,,,,,,,,,,,,,,,,5.639282888460621e-07,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3955853787508033e-06,FUNDC1
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.548291176696055e-06,,SLC39A13;ZIP13;hCG_1730570
152,,,,,,,,,,,,,,,,,,4.779002972143319e-07,,,,,,,,,,,,,,,,JOSD2;SBBI54
153,2.425593109954725e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIAA1126;SLC45A4;hCG_1729650
154,,,,,,,,,,,,,,,,,,,,,,,,1.635223506240628e-06,,,,,,,,,,
155,,,5.356273901972164e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIAA1954;ZFP90
156,,,,,,,,,6.013575083549741e-07,,,,,,,,,,,,,,,,,,,,,,,,,KIAA1430
157,,,,,,,,,,,,,,,,,,,,,,,,2.135851831353023e-06,,,,,,,,,,THNSL2
158,,,,,,,,,4.443730760870397e-07,,,,,,,,,,,,,,,,,,,,,,,,,C14orf90;TMEM179;TMEM179A
