Gene name,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3
LIPD;LPL,,,,,,,,,,,,,,,,,,7.544855133349331e-07,,,,,,,,,,,,,,,
KCP1;KRTCAP1;PERP;PIGPC1;THW,,,,0.0001617319088414958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC2A,,,,,,,,,,,,,,,,,,4.105394587630072e-06,,,,,,,,,,,,,,,
LEPROTL1;My047;UNQ577/PRO1139;hCG_15463;TRG12,,,,,,6.443264545846968e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO1580;TMCO6,,,,,,,,,,,,,,,,,,6.708414753989881e-07,,,,,,,,,,,,,,,
ANKRD2;ARPP;RP11-548K23.2-002,,,,,,,,,,,,2.077562521178121e-07,,,,,,,,,,,,,,,,,,,,,
CCDC120;JM11;hCG_1749782,,,,,,,,,,,,,,,,,,,,,,,,,,,6.053395653780376e-08,,,,,,
AXIN2;DKFZp781B0869,,,,,,,,,,,,,4.294651059804309e-06,,,,,,,,,,,,,,,,,,,,
hCG_2039828;WBP1,,,7.070566063657475e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCA3;C11orf17,,,,,,,,,,,,,,,,,,5.073701412875792e-07,,,,,,,,,,,,,,,
CML1;GLA;NAT8;TSC501,,,,,,,,,,,,,,,1.8097799325934356e-07,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,2.122417927818292e-06,,,,,,,,,,,,,,,
CD69;CLEC2C;hCG_38142,,,,,,,,,,,,,,,,,,,,,2.4986534055778676e-06,,,,,,,,,,,,
101F6;CYB561D2;LUCA12.2,,,8.79624231173419e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,5.835336284975909e-05,,,,,,,,,,
CAP20;CDKN1;CDKN1A;CIP1;MDA6;PIC1;SDI1;WAF1;hCG_15367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.976552892854691e-07
IBP6;IGFBP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.521266547133382e-06,,,
CAGB;CFAG;MRP14;S100A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.615078425935116e-07,,,
