,Gene name
598,HSPC007;MRPS28;MRPS35
599,KIAA0453;VPS13D;RP5-888M10.1-003
600,HTRA2;OMI;PRSS25
601,C19orf1;PEREC1;TOM40;TOMM40
602,QTRT1;TGT;TGUT
603,COQ5
604,TRMT61B
605,C20orf34;CDK5RAP1;CGI-05;HSPC167;RP5-1187J4.1-007
606,GTPBP3;MTGP1
607,MDP1;POLG;POLG1;POLGA;polg
608,CPS1;hCG_16718
609,C14orf127;NUBPL
610,AGT1;AGXT;SPAT
611,C6orf96;RMND1;RP11-351K16.6-006
612,PGAM5;PGAM5-L;PXMP2
613,ACAC;ACACA;ACC1;ACCA;hCG_30204
614,DPS1;PDSS1;TPRT
615,C6orf53;HSPC194;TMEM14C
616,IDI1
617,QRSL1
618,DUS2;DUS2L
619,LACTB;MRPL56;UNQ843/PRO1781
620,ECHDC1;RP3-351K20.2-006;RP3-351K20.2-016;RP3-351K20.2-001
621,ATAD3B;KIAA1273;DKFZp761L1023
622,HINT;HINT1;PKCI1;PRKCNH1
623,KIAA1135;SPIR1;SPIRE1
624,15E1.1;HSPC132;TRIAP1
625,C14orf156;DC23;DC50;PD04872;SLIRP
626,TOP3;TOP3A
627,FHIT;hCG_1997982
628,LIG3
629,SLC25A36
630,GLS;GLS1;KIAA0838;DKFZp686O15119
631,PLD6
632,NIMP;RTN4IP1
633,TRMT1
634,DHPR;QDPR;hCG_39606
635,CXorf34;TRMT2B
636,HIBCH
637,OXNAD1
638,PPTC7;TAPP2C
639,AAG10;C7orf17;CHCHD2;C9orf49;CHCHD9
640,C11orf79;PGL2;SDH5;SDHAF2
641,HSDL1
642,MCCA;MCCC1;DKFZp686B20267
643,OCIAD2
644,SOD2;RP1-56L9.2-003;DKFZp564M2422
645,C1orf166;GIDE;MAPL;MUL1;MULAN;RNF218
646,GCAT;KBL
647,C22orf30;RP4-694E4.2-013;PISD;hCG_2010605;RP5-858B16.2-007;RP5-858B16.2-004;RP5-858B16.2-006;RP5-858B16.2-012
648,SURF1;SURF-1
649,APOO;FAM121B;My025;UNQ1866/PRO4302
650,PKACA;PRKACA;KIN27
651,CRYZ
652,KIAA0526;LCB2;SPTLC2
653,GPX4
654,CYB5B;CYB5M;OMB5;DKFZp686M0619
655,HBLD2;hCG_29468;GK004;ISCA1
656,BCL2L;BCL2L1;BCLX;RP5-857M17.3-003;RP5-857M17.3-006;RP5-857M17.3-005;hCG_38811;RP5-857M17.3-002
657,PNPASE;PNPT1
658,PDE12
659,DDP;DDP1;TIM8A;TIMM8A
660,HT007;TMEM126B;hCG_1640970
661,DNAJC15;DNAJD1;GIG22;HSD18
662,AIFM2;AMID;PRG3
663,GOLPH3;GPP34
664,ABC7;ABCB7
665,CHPPR;KIAA0009;MTFR1;DKFZp779J1460
666,COMT
667,COX11
668,BAK;BAK1;BCL2L7;CDN1;DKFZp686D0345;hCG_2001793
669,APC1;MCSC1;SCAMC1;SLC25A24
670,GRIM12;KDRF;TXNRD1;hCG_1812757
671,CHCHD3;hCG_2014841;tcag7.1158
672,FLAD1;PP591;hCG_20019;RP11-307C12.7-004
673,MRRF
674,AKAP1;AKAP149;PRKA1
675,GST12;MGST;MGST1
676,HUSSY-08;NFS1;NIFS;hCG_38220;RP1-309K20.1-003
677,TRUB2
678,CA5;CA5A
679,CHCHD6
680,KIAA1393;TRMT5;hCG_20994
681,AKR1B10;AKR1B11
682,NUDT10;NUDT9;PSEC0099;UNQ3012/PRO9771
683,HPT;MRS2;MRS2L
684,MRPL52;hCG_41985
685,DIABLO;SMAC;hCG_1782202
686,DECR;DECR1
687,BLOC1S1;BLOS1;GCN5L1;RT14
688,ACSM3;SAH
689,ARF5;hCG_32325;tcag7.6
690,TOMM40B;TOMM40L;hCG_1995939
691,IPT;MOD5;TRIT1;RP1-118J21.3-003
692,MIP;MIPEP
693,C2orf69
694,HBLD1;ISCA2
695,SUOX
696,TOMM34;URCC3
697,PP8985;PUS1
698,MCEE
699,APC3;KIAA1896;MCSC3;SCAMC2;SLC25A25;UNQ549/PRO1106
700,IDE
701,FKBP38;FKBP8
702,TMEM126A
703,OXA1L
704,MFN1;hfzo1;hfzo2;DKFZp762F247
705,MTHFD2;NMDMC;hCG_40734
706,C6orf149;CGI-203;ISD11;LYRM4
707,CGI-02;MTO1;RP11-505P4.1-011
708,MTIF2
709,NTH1;NTHL1;OCTS3
710,CPO;CPOX;CPX
711,RARS2;RARSL
712,KIAA1990;PDPR
713,MTPOLB;POLG2
714,GUK1;RP11-520H14.2-018;RP11-520H14.2-003;hCG_1984660;GMK;RP11-520H14.2-001;RP11-520H14.2-023;RP11-520H14.2-010;RP11-520H14.2-027;RP11-520H14.2-030
715,BOLA1;CGI-143
716,ABCB10
717,C20orf48;PANK2
718,IPS1;KIAA1271;MAVS;VISA
719,DNAJC11;RP1-126A5.3-009
720,ECSIT
721,DGK;DGUOK;hCG_40733
722,ACP6;ACPL1;LPAP;UNQ205/PRO231
723,CGI-64;MTCH1;PSAP;UNQ1871/PRO4314;PIG60;RP1-90K10.1-007
724,GRPEL2;DKFZp451C205
725,MFT;MFTC;SLC25A32
726,MYO19;MYOHD1
727,C14orf112;COX16;HSPC203;PTD019
728,DC3;HSPC133;METTL5;hCG_2005083
729,MAOB
730,G7A;VARS;VARS2;DAAP-21F2.2-001;DAMC-117B11.3-001
731,TOM22;TOMM22;hCG_2010808;MST065;RP3-508I15.12-001
732,CDC8;DTYMK;TMPK;TYMK;hCG_93868;tmp_locus_5;LOC727761
733,BOLA3
734,FRDA;FXN;X25
735,MTX2;hCG_1778458
736,CGI-93;DHRS7B;UNQ212/PRO238
737,FASTKD5;KIAA1792
738,AFAR;AFAR1;AKR7;AKR7A2
739,ACSF2;UNQ493/PRO1009
740,FARS1;FARS2;HSPC320
741,FASTKD1;KIAA1800
742,CHCHD4;MIA40
743,COX7A2L;COX7AR;COX7RP;hCG_1783904
